"titulo","precio","precioLista","imagenProducto"
"Amazon Kindle 16 GB (modelo más reciente): El Kindle más ligero y compacto, ahora con cambios de página más rápidos y mayor contraste, para una experiencia de lectura mejorada - Negro","1,779.00","$2,099.00","https://m.media-amazon.com/images/I/71w-4uiDzoL._AC_UL320_.jpg"
"Amazon Kindle Paperwhite 16GB (modelo más reciente): nuestro Kindle más rápido de la historia, con una nueva pantalla de 7″ sin reflejos y una batería de semanas de duración. Color Negro","2,399.00","$2,999.00","https://m.media-amazon.com/images/I/51WeXuqsZyL._AC_UL320_.jpg"
"El nuevo Amazon Kindle Paperwhite Signature Edition (32 GB): nuestro Kindle más rápido con una luz frontal que se ajusta automáticamente y semanas de duración de la batería. Carbón metálico","2,999.00","$3,799.00","https://m.media-amazon.com/images/I/718meV11rIL._AC_UL320_.jpg"
"Totalmente nuevo, Made for Amazon, base de carga inalámbrica para Kindle Paperwhite Signature Editions (versiones de 2022 y 2024)","779.99","$79.16","https://m.media-amazon.com/images/I/81S-GuPuGxL._AC_UL320_.jpg"
"Paquete Kindle que incluye Kindle (lanzamiento 2024) - Matcha y Funda de Tela - Matcha","2,378.99","$2,698.99","https://m.media-amazon.com/images/I/61xlk5g41xL._AC_UL320_.jpg"
"PUBAMALL Funda Compatible para 6 Pulgadas Kindle All-New (11ª Generación - Lanzamiento 2024/2022), con la función Auto Sleep Wake (Cielo Estrellado)","206.10","$239.00","https://m.media-amazon.com/images/I/91ckIYf2nbL._AC_UL320_.jpg"
"Funda Amazon Kindle, funda protectora plegable fina y ligera - Tela","599.99","$60.89","https://m.media-amazon.com/images/I/711+7nOVHnL._AC_UL320_.jpg"
"Janety Funda para Kindle 2024/2022, 6 Pulgadas, 2 Piezas TPU Transparente, Protección Antigolpes Lectores de Ebooks, Funda para Kindle 11ª Generación","339.00","$34.40","https://m.media-amazon.com/images/I/61etpfGHVDL._AC_UL320_.jpg"
"Presentamos la nueva funda de cuero de origen vegetal de Amazon: funda protectora ligera diseñada pensando en la sustentabilidad para los nuevos Kindle Paperwhite y Kindle Paperwhite Signature Edition","799.99","$81.19","https://m.media-amazon.com/images/I/819LuzDf5OL._AC_UL320_.jpg"
"PUBAMALL Funda para Kindle Paperwhite 7 Pulgadas, 12ª Generación 2024, Auto Sleep Wake, Compatible con Kindle Colorsoft Signature Edition (Negro)","269.10","$299.00","https://m.media-amazon.com/images/I/61ZuY6pVGgL._AC_UL320_.jpg"
"Nueva funda para Amazon Kindle Paperwhite y Kindle Paperwhite Signature Edition, funda protectora ligera y plegable, cuero prémium","1,199.99","$121.79","https://m.media-amazon.com/images/I/81eT7nsvm8L._AC_UL320_.jpg"
"El Hombre","N/A","N/A","No disponible"
"Nueva funda para Amazon Kindle Paperwhite y Kindle Paperwhite Signature Edition, ligera y resistente al agua, funda protectora plegable, tela","679.99","$69.01","https://m.media-amazon.com/images/I/91KwBwyXicL._AC_UL320_.jpg"
"IOPDXZW Page Turner con Control Remoto RF, Tiktok Ring, EReaders Accesorios de Lectura, Compatible Kindle, Kindle Paperwhite, Kobo, Ebook Readers","299.00","$388.00","https://m.media-amazon.com/images/I/61J00nTk4QL._AC_UL320_.jpg"
"Cadáver exquisito (Mapa de las lenguas)","N/A","N/A","No disponible"
"Lo que un líder no debe delegar: Crea una empresa admirada","N/A","N/A","No disponible"
"Fintie - Funda de piel sintética para Kindle Paperwhite con ranura para tarjetas y correa de mano para Kindle Paperwhite (café clásico)","399.00","$40.49","https://m.media-amazon.com/images/I/71Ssf3aHi7L._AC_UL320_.jpg"
"Kit Funda Y 2 Protectores de Pantalla para Kindle Paperwhite de 7 Pulgadas, 12.ª Generación, Versión 2024, Compatible con Kindle Colorsoft Signature Edition,con Función Encendido y Apagado Automático","260.10","$289.00","https://m.media-amazon.com/images/I/61OQSoi3QkL._AC_UL320_.jpg"
"ZCGOINGTECH Funda para Kindle Paperwhite de 7 Pulgadas, 12.ª Generación, Versión 2024, Compatible con Kindle Colorsoft Signature Edition, Funda Kindle con Función de Encendido y Apagado Automático","259.00","$26.28","https://m.media-amazon.com/images/I/81pJ41QFgWL._AC_UL320_.jpg"
"RSAquar Funda Compatible con 7"" Nuevo Kindle Paperwhite (12ª Generación 2024) & Kindle Colorsoft Signature Edition, Funda Protectora Delgada con Auto Sleep/Wake - Agave Verde","359.00","$399.00","https://m.media-amazon.com/images/I/71LYFEZXsiL._AC_UL320_.jpg"
"Amazon Kindle 16 GB (modelo más reciente): El Kindle más ligero y compacto, ahora con cambios de página más rápidos y mayor contraste, para una experiencia de lectura mejorada - Negro","1,779.00","$2,099.00","https://m.media-amazon.com/images/I/71w-4uiDzoL._AC_UL320_.jpg"
"El nuevo Amazon Kindle Paperwhite Signature Edition (32 GB): nuestro Kindle más rápido con una luz frontal que se ajusta automáticamente y semanas de duración de la batería. Carbón metálico","2,999.00","$3,799.00","https://m.media-amazon.com/images/I/718meV11rIL._AC_UL320_.jpg"
"Dedo pela pollos","7,100.00","$720.65","https://m.media-amazon.com/images/I/31CS0vPnOjL._AC_UL320_.jpg"
